Language,"Source Text","Source Text Total Google Results","Source Text Total Google Results (limited by total queries sent)","Bing Translate #1","Bing Translate #2","Bing Score (RTT with similar_text)","Bing Score (RTT with meteor)","Bing Score (RTT with GoogleSearch)","Bing Total Google Results","Bing Total Intersected Links","Google Translate #1","Google Translate #2","Google Score (RTT with similar_text)","Google Score (RTT with meteor)","Google Score (RTT with GoogleSearch)","Google Total Google Results","Google Total Intersected Links","Yandex Translate #1","Yandex Translate #2","Yandex Score (RTT with similar_text)","Yandex Score (RTT with meteor)","Yandex Score (RTT with GoogleSearch)","Yandex Total Google Results","Yandex Total Intersected Links"
﻿en-ar,""" education is an important factor for the location , "" highlighted Claudia Stehle , Director of the Hans Thoma School .",0,0,"""التعليم عامل مهم للموقع،"" أبرز كلوديا ستيهلي، مدير المدرسة هانز توما.","""Education is an important factor for the site,"" Claudia staehli, headmaster Hans Thoma.",0.70192307692308,0.39265402843602,0,0,0,"""التعليم هو عامل مهم للموقع""، وسلطت الضوء كلوديا ستيهل، مدير مدرسة هانز ثوما.","""Education is an important factor for the site,"" highlighted Claudia Stahl, director of the Hans Thomas School.",0.9004329004329,0.59041290934979,0,0,0,"""التعليم عامل مهم في موقع"" أبرز كلوديا Stehle , مدير هانز توما المدرسة .","""Education is an important factor in the location of the"" highlights of Claudia Stehle , Director of the Hans-thoma-school .",0.88524590163934,0.70045395384274,0,0,0
﻿en-ar,"the causality should therefore be sought in the misguided liberalisation .",655,50,"ولذلك ينبغي التماس العلاقة السببية في تحرير المضللة.","Therefore, seek causation in misleading editing.",0.31147540983607,0.095238095238095,0.02,21900,1,"ولذلك ينبغي السعي وراء السببية في التحرير المضلل.","Causality should therefore be sought in misleading editing.",0.75187969924812,0.55036344755971,0.02,21900,1,"العلاقة السببية ولذلك ينبغي أن يكون سعى في المضللة التحرير .","Causality should therefore be sought in the deceptive editing .",0.74452554744526,0.71459288990826,0.02,12900,1
﻿en-ar,"he identified his personal motivation as being his work in the area of auditing .",3120000,50,"وحدد له دوافع شخصية كعملة في مجال مراجعة الحسابات.","And select his personal motives as currency in audit.",0.56716417910448,0.13888888888889,0,6950,0,"حدد دافعه الشخصي باعتباره عمله في مجال التدقيق.","He identified his personal motivation as his work in the field of auditing.",0.8974358974359,0.7957957957958,0.58,6950,0,"وحدد له دوافع شخصية كما يجري العمل في مجال التدقيق .","Select no personal motives as being work in the field of audit .",0.71724137931034,0.47455658783784,0.04,3120000,29
﻿en-ar,"they also suggest that the penal code should state that withdrawal of nursing care is not criminal .",7490,50,"وتشير أيضا إلى أن العقوبات ينبغي أن يذكر أن الانسحاب من الرعاية التمريضية ليست جنائية.","They also suggest that sanctions should the withdrawal of nursing care is not a criminal.",0.82539682539683,0.6983585731956,0.18,28900,9,"فإنهم يقترحون أيضا أن ينص قانون العقوبات على أن سحب الرعاية التمريضية ليس جنائيا.","They also propose that the Penal Code provide that withdrawal of nursing care is not criminal.",0.84536082474227,0.77734464572346,0.4,28900,9,"فإنها تشير أيضا إلى أن العقوبات يجب على الدولة أن الانسحاب من الرعاية التمريضية ليست جنائية .","They also suggest that sanctions the state must withdraw from the nursing care is not criminal .",0.76530612244898,0.70559650920631,0.16,4230,20
﻿en-ar,"70 per cent of items pawned at the city-state 's 200 pawn outlets are gold .",894,50,"70 في المائة من بنود مرهون في منافذ البيدق 200 في الدولة المدينة بالذهب.","70 per cent of the subject lines in the City State in 200 pawn outlets with gold.",0.72611464968153,0.58229813664596,0.18,3350,9,"و 70 في المائة من الأصناف التي تم رهنها في منافذ البيدق التي يبلغ عددها 200 بيضة، هي الذهب.","And 70 per cent of the items that were mortgaged in the 200 pawn pits are gold.",0.67096774193548,0.62779118115086,0,3350,9,"70 في المائة من البنود رهنت في المدينة-الدولة 's 200 البيدق محلات الذهب .","70 per cent of items pawned in the city-state 's 200 pawn shops and gold .",0.89333333333333,0.80066568047337,0.92,527,0
﻿en-ar,"the answer in hundreds of minor drug cases depends less on the law than on location .",112000,50,"الجواب في المئات من حالات طفيفة المخدرات يعتمد أقل على القانون من على الموقع.","The answer is in the hundreds of minor drug cases depends less on the law than on the website.",0.86033519553073,0.96664520801481,0.68,102000,34,"فإن الجواب في المئات من حالات المخدرات البسيطة يعتمد بدرجة أقل على القانون منه على الموقع.","The answer in hundreds of cases of simple drugs depends less on the law than on the site.",0.7816091954023,0.8688758934373,0.24,102000,34,"الجواب في مئات طفيفة في قضايا المخدرات يعتمد أقل على القانون من على الموقع .","The answer in hundreds of minor drug cases depends less on the law than on location .",0.98823529411765,0.99918583350295,0.96,1020000,12
﻿en-ar,"how fast the change is implemented will vary by the airline .",1190000,50,"مدى سرعة تنفيذ التغيير سوف تختلف حسب شركة الطيران.","How fast the change will vary by airline.",0.7843137254902,0.64655172413793,0.14,1120000,7,"مدى سرعة تنفيذ التغيير سوف تختلف من قبل شركة الطيران.","The speed of implementation of the change will vary by the airline.",0.640625,0.64908854166667,0.36,1120000,7,"كيف سريع التغيير تنفيذها سوف تختلف من شركة الطيران .","How fast the change is implemented will vary by airline .",0.94915254237288,0.91499409681228,0.74,874000,18
﻿en-ar,"Zollernalb will select three wishes from those submitted .",1510,50,"زوليرنالب سيتم تحديد رغبات ثلاثة من تلك المقدمة.","Zolernalb will select three of those desires.",0.77669902912621,0.35866477272727,0,0,0,"سوف زولرنالب اختيار ثلاثة رغبات من تلك المقدمة.","Zollernalb will choose three wishes from those provided.",0.82456140350877,0.63202247191011,0.26,0,0,"Zollernalb اختيار ثلاث رغبات من تلك المقدمة .","Zollernalb choose three wishes from that article .",0.68518518518519,0.50112359550562,0.14,6480,13
﻿en-ar,"Scarborough was in regular phone contact with Ditta .",4690,50,"وكان سكاربورو في اتصال هاتفي منتظم مع وديتا.","Scarborough was a regular telephone with Ditta.",0.84,0.42272727272727,0.44,300,22,"وكان سكاربورو في اتصال هاتفي منتظم مع ديتا.","Scarborough was in regular telephone conversation with Dita.",0.84955752212389,0.50112359550562,0.12,300,22,"سكاربورو في الهاتف العادية الاتصال مع Ditta .","Scarborough in regular phone contact with Ditta .",0.96078431372549,0.87517556179775,0.96,1370,6
﻿en-ar,"during his arrest Ditta picked up his wallet .",734,50,"وخلال اعتقاله التقطت وديتا محفظته.","During his arrest and DITA picked his wallet.",0.81318681318681,0.57428214731586,0.56,605,28,"خلال اعتقاله ديتا التقطت محفظته.","During his arrest Dita picked up his wallet.",0.95555555555556,0.75556065122678,0.66,605,28,"أثناء القبض عليه Ditta التقط محفظته .","During his arrest Ditta picked up his wallet .",0.97826086956522,0.99451303155007,0.98,712,33
﻿en-ar,"the plumber will have to go through mined platforms in order to free princess Peach .",9370,50,"وسيكون السباك للذهاب من خلال منصات الملغومة بغية تحرير الأميرة الخوخ.","The plumber will have to go through mined platforms in order to free Princess Peach.",0.97041420118343,0.94227812718379,1,9370,50,"فإن سباك يجب أن تذهب من خلال منصات الملغومة من أجل تحرير الأميرة الخوخ.","The plumber must go through the mined platforms in order to free the peach princess.",0.7810650887574,0.79835707868053,0.4,9370,50,"سباك سوف تضطر إلى الذهاب من خلال الملغومة منصات من أجل تحرير الأميرة الخوخ .","A plumber will have to go through the mined platform for the liberation of the Princess Peach .",0.78888888888889,0.77964058733289,0,18600,20
﻿en-ar,"Mr Ditta is accused of abusing his position as a criminal solicitor .",2600,50,"السيد وديتا متهم بإساءة استخدام منصبه كمحام جنائي.","Mr Ditta is accused of misusing his position as a criminal lawyer.",0.87407407407407,0.76472868217054,0.32,412,16,"واتهم السيد ديتا بإساءة استعمال منصبه كمحام جنائي.","Mr. Dita was accused of misusing his position as a criminal lawyer.",0.83823529411765,0.58139534883721,0.16,412,16,"السيد Ditta متهم بإساءة استخدام منصبه كرئيس الجنائية المحامي .","Mr. Ditta is accused of abusing his position as a criminal lawyer .",0.91176470588235,0.92094017094017,0.62,379,8
﻿en-ar,""" a hundred had to be removed or destroyed , "" says Jens Müller .",0,0,"وتقول ""مائة وقد إزالتها أو تدميرها،"" ينس مولر.","It says ""100 and may be removed or destroyed,"" Jens Muller.",0.72,0.29204718417047,0,0,0,"""كان يتعين إزالة مائة أو تدميرها""، كما يقول جينز مولر.","""One hundred had to be removed or destroyed,"" says Jens Muller.",0.91472868217054,0.56358870285811,0,0,0,"""مائة كان لا بد من إزالتها أو تدميرها"" ، ويقول ينس مولر .","""One hundred had to be removed or destroyed,"" says Jens møller .",0.91603053435115,0.68758081745095,0,0,0
﻿en-ar,"the fight against tobacco remains a priority .",60000,50,"ولا تزال مكافحة التبغ أولوية.","Tobacco control remains a priority.",0.64197530864198,0.48701298701299,0.14,226000,7,"فإن مكافحة التبغ تظل أولوية.","Tobacco control remains a priority.",0.64197530864198,0.48701298701299,0.12,226000,7,"مكافحة التبغ لا يزال يمثل أولوية .","Tobacco control remains a priority .",0.65853658536585,0.62051282051282,0.16,155000,6
﻿en-ar,"the country is believed to have around 1,000 metric tons of chemicals and weapons .",15800,50,"ويعتقد البلد أن يكون حوالي 1000 طن متري من المواد الكيميائية، والأسلحة.","The country is believed to be about 1000 metric tons of chemicals and weapons.",0.91925465838509,0.79907718120805,0.82,16000,41,"ويعتقد أن البلاد لديها حوالي 1000 طن متري من المواد الكيميائية والأسلحة.","The country is believed to have about 1,000 metric tons of chemicals and weapons.",0.95121951219512,0.86712203645606,0.88,16000,41,"البلد يعتقد أن حوالي 1000 طن متري من المواد الكيميائية والأسلحة .","The country is considered to be about 1000 metric tons of chemicals and weapons .",0.85365853658537,0.78518518518519,0.7,15800,44
﻿en-ar,"small and medium sized companies often lack the experience to protect corporate secrets effectively against unauthorised access .",14000,50,"الشركات الصغيرة والمتوسطة الحجم تفتقر إلى الخبرة اللازمة لحماية أسرار الشركات فعالية ضد الوصول غير المصرح به.","Small and medium-sized companies lack the expertise to protect corporate secrets against unauthorized access.",0.87394957983193,0.54446844477836,0.36,3280,18,"الشركات الصغيرة والمتوسطة الحجم غالبا ما تفتقر إلى الخبرة لحماية أسرار الشركات بفعالية ضد الوصول غير المصرح به.","Small and medium-sized companies often lack the expertise to effectively protect corporate secrets against unauthorized access.",0.859375,0.64523635396583,0.34,3280,18,"الشركات الصغيرة والمتوسطة الحجم في كثير من الأحيان تفتقر إلى الخبرة لحماية أسرار الشركات بشكل فعال ضد الوصول غير المصرح به .","Small and medium sized companies often lack the experience to protect corporate secrets effectively against unauthorised access .",0.9922480620155,0.99931412894376,0.96,2540,17
﻿en-ar,"the students themselves do not have the funds to afford tutors .",44000,50,"لا تملك الأموال اللازمة لتحمل المعلمون الطلاب أنفسهم.","I don't have the funds to afford teachers the students themselves.",0.55384615384615,0.53046218487395,0.14,931000,7,"فإن الطلاب أنفسهم ليس لديهم الأموال اللازمة لتوفير المعلمين.","The students themselves do not have the funds to provide teachers.",0.84615384615385,0.75215271293703,0.04,931000,7,"الطلاب أنفسهم لا تملك الأموال إلى تحمل الاولياء .","The students themselves do not have the funds to afford tutors .",0.984375,0.99768518518519,1,10600000,2
﻿en-ar,"I would ride up to HP and hang around that machine and write programs for it .",434000,50,"وأود ركوب حتى إتش بي وتعليق حول هذا الجهاز وكتابة البرامج لذلك.","I would ride up the HP and comment on this device and write software for it.",0.71428571428571,0.55473372781065,0.04,402000,2,"وأود أن ركوب ما يصل الى هب وتسكع حول هذا الجهاز وكتابة البرامج لذلك.","I would ride up to the HP and wander around this machine and write the software for it.",0.8,0.72286238278141,0.2,402000,2,"أود أن ركوب ما يصل إلى HP تعليق حول هذا الجهاز و كتابة البرامج .","I would like to ride up to HP's comment about this machine and writing software .",0.60377358490566,0.45364891518738,0.18,205000,10
﻿en-ar,"the answer in hundreds of minor drug cases depends less on the law than on location .",112000,50,"الجواب في المئات من حالات طفيفة المخدرات يعتمد أقل على القانون من على الموقع.","The answer is in the hundreds of minor drug cases depends less on the law than on the website.",0.86033519553073,0.96664520801481,0.68,102000,34,"فإن الجواب في المئات من حالات المخدرات البسيطة يعتمد بدرجة أقل على القانون منه على الموقع.","The answer in hundreds of cases of simple drugs depends less on the law than on the site.",0.7816091954023,0.8688758934373,0.24,102000,34,"الجواب في مئات طفيفة في قضايا المخدرات يعتمد أقل على القانون من على الموقع .","The answer in hundreds of minor drug cases depends less on the law than on location .",0.98823529411765,0.99918583350295,1,1020000,12
﻿en-ar,"politicians have expressed concern that the EU lacks certain IT and internet capabilities .",943000,50,"السياسيين أعربوا عن قلقهم أن الاتحاد الأوروبي يفتقر بعض القدرات وشبكة الإنترنت.","Politicians expressed concern that the European Union lacks certain abilities and the Internet.",0.70967741935484,0.64172661870504,0.28,109000,14,"أعرب السياسيون عن قلقهم من أن الاتحاد الأوروبي يفتقر إلى بعض قدرات تكنولوجيا المعلومات والإنترنت.","Politicians have expressed concern that the EU lacks some information technology capabilities and the Internet.",0.73267326732673,0.8202817178881,0.22,109000,14,"السياسيين قد أعربت عن قلقها من أن الاتحاد الأوروبي يفتقر إلى بعض و قدرات الإنترنت .","Politicians have expressed concern that the European Union lacks some of the and Internet capabilities .",0.83076923076923,0.82942097026604,0.38,69000,11
﻿en-ar,"Hubert Wermter 's story with the Cäcilia Male Choral Society is almost twice as long as that of the Autumn Festival .",0,0,"قصة أوبير ورمتر مع Cäcilia الذكور الجوقة المجتمع تقريبا ضعف طالما أن مهرجان الخريف.","The story of Hubert wermter with Cäcilia male Choral Society almost twice as long as the fall Festival.",0.76576576576577,0.72864603357683,0,0,0,"قصة هوبيرت ويرمتر مع جمعية كاليليا ذكر كورال ما يقرب من ضعف ما كان عليه في مهرجان الخريف.","The story of Hubert Wermeter with the Calleia Society reminded Coral about twice as much as at the Autumn Festival.",0.67811158798283,0.49739427826937,0,0,0,"هوبير Wermter قصة الصورة مع Cäcilia الذكور كورالي المجتمع تقريبا مرتين طالما أن مهرجان الخريف .","Hubert Wermter picture story with Cäcilia male choral society almost twice as long as the Autumn Festival .",0.86725663716814,0.75956362937332,0,0,0
