Language,"Source Text","Bing Translate #1","Bing Translate #2","Bing Score (RTT with similar_text)","Bing Score (RTT with meteor)","Google Translate #1","Google Translate #2","Google Score (RTT with similar_text)","Google Score (RTT with meteor)","Yandex Translate #1","Yandex Translate #2","Yandex Score (RTT with similar_text)","Yandex Score (RTT with meteor)"
﻿en-ar,"St. Petersburg is not a cultural capital .","سانت بطرسبرغ ليست عاصمة ثقافية.","Saint Petersburg's cultural capital.",0.82051282051282,0.13157894736842,"سانت بطرسبرغ ليست عاصمة ثقافية.","St. Petersburg is not a cultural capital.",0.98795180722892,0.87574270214415,"سان بطرسبرج ليست عاصمة ثقافية .","St. Petersburg is not the capital of Culture .",0.75,0.69444444444444
﻿en-ar,"Germany and a few of its satellite economies might keep the euro .","قد تبقى ألمانيا وعدد قليل من الاقتصادات الأقمار الصناعية اليورو.","Germany may remain and a few satellite euro economies.",0.63333333333333,0.38062844185293,"وقد تحتفظ ألمانيا وبعض الاقتصادات الساتلية باليورو.","Germany and some satellite economies may retain euros.",0.7,0.2525,"ألمانيا و عدد قليل من الأقمار الصناعية الاقتصادات قد استمر اليورو .","Germany and a few of the satellite economies had continued to the euro .",0.81159420289855,0.80026496750994
﻿en-ar,"Deutsche Bank also faces legal action by the FHFA covering multiple transactions .","كما يواجه ""دويتشه بنك"" إجراءات قانونية من جانب فهفا تغطي معاملات متعددة.","Deutsche Bank is also facing legal action by the slip up covering multiple transactions.",0.88235294117647,0.71564885496183,"كما يواجه دويتشه بنك إجراءات قانونية من قبل ففا تغطي المعاملات المتعددة.","Deutsche Bank also faces legal proceedings by FFA covering multiple transactions.",0.89570552147239,0.67226080246914,"دويتشه بنك أيضا يواجه إجراءات قانونية من قبل FHFA تغطي معاملات متعددة .","Deutsche Bank is also facing legal action by the FHFA to cover multiple transactions .",0.91666666666667,0.79420235411971
﻿en-ar,"poverty perpetuates from generation to generation in one of the hardest jobs in the world .","ويديم الفقر من جيل إلى جيل في واحدة من أصعب الوظائف في العالم.","And perpetuates poverty from one generation to another in one of the toughest jobs in the world.",0.7807486631016,0.75405628089745,"فإن الفقر يديم من جيل إلى جيل في واحدة من أصعب الوظائف في العالم.","Poverty perpetuates generation to generation in one of the most difficult jobs in the world.",0.86338797814208,0.8057013136839,"الفقر يديم من جيل إلى جيل في واحدة من أصعب الوظائف في العالم .","Poverty perpetuates from generation to generation in one of the hardest jobs in the world .",0.98901098901099,0.9990234375
﻿en-ar,"the exams regulator , will unveil a shake-up of the structure of GCSEs .","الجهة المنظمة للامتحانات، سوف يكشف النقاب عن تعديل الهيكل لشهادة Gcse.","The regulator for exams, will unveil the Gcse certificate structure.",0.58571428571429,0.25735294117647,"وهو منظم الامتحانات، يكشف النقاب عن هزة هيكل غسس.","An orderly examiner, unveils a shake of the gassy structure.",0.62121212121212,0.14705882352941,"الامتحانات منظم ، النقاب عن هزة هيكل من شهادة الثانوية العامة .","The exams regulator, has unveiled a shake the structure of the general secondary certificate .",0.67469879518072,0.54373522458629
﻿en-ar,"in the second century , we hope to be able to achieve even more .","في القرن الثاني، ونأمل أن تكون قادرة على تحقيق المزيد.","In the second century, we hope to be able to achieve more.",0.92682926829268,0.78680083144369,"في القرن الثاني، ونحن نأمل أن تكون قادرة على تحقيق أكثر من ذلك.","In the second century, we hope to be able to achieve more.",0.92682926829268,0.78680083144369,"في القرن الثاني ، ونحن نأمل أن تكون قادرة على تحقيق أكثر من ذلك .","In the second century, we hope to be able to achieve more than that .",0.86567164179104,0.84201183431953
﻿en-ar,"experts now say the animals can no longer be driven from cities .","ويقول الخبراء الآن الحيوانات لم يعد يمكن أن تكون مدفوعة من المدن.","Now experts say the animals no longer can be driven from the cities.",0.84210526315789,0.88347746927629,"يقول الخبراء الآن أن الحيوانات لا يمكن أن تكون مدفوعة من المدن.","Experts now say that animals can not be driven from cities.",0.88709677419355,0.67226080246914,"الخبراء يقولون الآن إن الحيوانات لم يعد يمكن أن تكون مدفوعة من المدن .","Now experts say the animals can no longer be driven from the cities .",0.91044776119403,0.97722303206997
﻿en-ar,"concerns about Big Brother were a major problem .","وكانت المخاوف من الأخ مشكلة رئيسية.","Other concerns were a major problem.",0.70588235294118,0.51264367816092,"كانت المخاوف بشأن الأخ الأكبر مشكلة كبيرة.","Concerns about Big Brother were a big problem.",0.88421052631579,0.87517556179775,"مخاوف الأخ الأكبر كانت مشكلة رئيسية .","The risk of big brother was a major problem .",0.68085106382979,0.61813186813187
﻿en-ar,"Let us imagine for a minute that manipulation of virtual holographic objects in the air is available .","دعونا نتصور للحظة أن التلاعب بافتراضية الكائنات الثلاثية الأبعاد في الهواء متاح.","Let us imagine for a moment that manipulate virtual 3D objects in the air available.",0.83870967741935,0.63559322033898,"دعونا نتخيل لدقيقة أن التلاعب من الكائنات الثلاثية الأبعاد الظاهري في الهواء هو متاح.","Let us imagine for a minute that the manipulation of virtual holographic objects in the air is available.",0.97584541062802,0.98928326474623,"دعونا نتخيل للحظة أن التلاعب الظاهري الأجسام الثلاثية الأبعاد في الهواء هو متاح .","Let's imagine for a moment that manipulate virtual holographic objects in the air is available .",0.91919191919192,0.71969948806595
﻿en-ar,"he finally shot to fame internationally with his four-cylinder BMW Tower .","وأخيراً طلق الشهرة دوليا مع برج بي أم دبليو أربع اسطوانات له.","Finally he divorced fame internationally with Tower BMW four-cylinder.",0.70833333333333,0.45472756410256,"أطلق أخيرا النار على الشهرة الدولية مع برجه رباعي الأسطوانات بمو.","He finally shot international fame with his four-cylinder tower in Mau.",0.8,0.59020483193277,"وأخيرا النار إلى الشهرة دوليا مع أربع أسطوانات BMW برج .","Finally shot to fame internationally with the four-cylinder BMW Tower .",0.93793103448276,0.82899159663866
