Language,"Source Text","Source Text Total Google Results","Source Text Total Google Results (limited by total queries sent)","Bing Translate #1","Bing Translate #2","Bing Score (RTT with similar_text)","Bing Score (RTT with meteor)","Bing Score (RTT with GoogleSearch)","Bing Total Google Results","Bing Total Intersected Links","Google Translate #1","Google Translate #2","Google Score (RTT with similar_text)","Google Score (RTT with meteor)","Google Score (RTT with GoogleSearch)","Google Total Google Results","Google Total Intersected Links","Yandex Translate #1","Yandex Translate #2","Yandex Score (RTT with similar_text)","Yandex Score (RTT with meteor)","Yandex Score (RTT with GoogleSearch)","Yandex Total Google Results","Yandex Total Intersected Links"
﻿en-fr,"with peripheral risk subsidies launched , Greece is still entangled in the maze .",0,0,"avec les subventions de périphériques risque lancées, Grèce est toujours empêtrée dans le labyrinthe.","with the devices risk grants launched, Greece is still entangled in the maze.",0.79746835443038,0.63915809501159,0,2400,0,"Avec des subventions de risque périphériques lancées, la Grèce est encore empêtrée dans le labyrinthe.","With peripheral risk subsidies launched, Greece is still entangled in the labyrinth.",0.90909090909091,0.77793747754222,0,2400,0,"avec les périphériques de risque subventions lancé , la Grèce est encore empêtré dans le labyrinthe .","with the devices of risk subsidies launched , Greece is still enmeshed in the maze .",0.82424242424242,0.80881740145012,0,0,0
﻿en-fr,""" this is not just a tax going into a black hole , .",6740000,50,"« ce n’est pas juste une taxe entrer dans un trou noir.","""this isn't just a tax going into a black hole.""",0.92,0.64950980392157,0,0,0,"""Ce n'est pas seulement une taxe qui va dans un trou noir.","""It's not just a tax going into a black hole.",0.88659793814433,0.64950980392157,0.7,0,0,"""ce n'est pas seulement une taxe d'aller dans un trou noir .","""this is not just a tax going into a black hole .",0.97029702970297,0.85346215780998,1,6370000,35
﻿en-fr,"Giffords is seen sitting up in a wheelchair as therapists teach her how to perform simple actions .",659,50,"Giffords est vu assis dans un fauteuil roulant comme thérapeutes lui enseignent comment effectuer des actions simples.","Giffords is seen sitting in a wheelchair as therapists teach him how to perform simple actions.",0.95876288659794,0.83470661672909,0.72,509,36,"Giffords est assis assis dans un fauteuil roulant pendant que les thérapeutes lui enseignent comment effectuer des actions simples.","Giffords is sitting in a wheelchair while the therapists teach him how to perform simple actions.",0.87755102040816,0.69443521042484,0.74,509,36,"Giffords est vu assis dans un fauteuil roulant en tant que thérapeute de lui apprendre à exécuter des actions simples .","Giffords is seen sitting in a wheelchair as a therapist to teach him to perform simple actions .",0.91282051282051,0.86545138888889,0.58,488,37
﻿en-fr,"you set out on your castle siege with a thesis on the material and criminal responsibilities of politics .",2150,50,"vous partez sur votre siège de château avec une thèse sur le matériel et les responsabilités pénales de la politique.","you set off on your seat of Castle with a thesis on the material and the criminal responsibilities of the policy.",0.84931506849315,0.90993119855967,0.08,7180,4,"vous partez sur le siège de votre château avec une thèse sur les responsabilités matérielles et criminelles de la politique.","you go to the seat of your castle with a thesis on the material and criminal responsibilities of politics.",0.88679245283019,0.76716694078947,0.1,7180,4,"vous vous êtes mis sur votre le siège du château, avec une thèse sur la matière pénale et de responsabilités de la politique .","you are put on your the siege of the castle, with a thesis on criminal matters and responsibilities of the policy .",0.71493212669683,0.82621697690782,0.24,9020,5
﻿en-fr,"Valley failed to convince the jury about her interest in social work .",17100,50,"La vallée n’ont pas convaincu le jury au sujet de son intérêt pour le travail social.","The Valley did not convince the jury about his interest in social work.",0.87943262411348,0.74461538461538,0.28,31800,14,"Valley n'a pas réussi à convaincre le jury de son intérêt pour le travail social.","Valley failed to convince the jury of his interest in social work.",0.92647058823529,0.76472868217054,0.68,31800,14,"Vallée échoué à convaincre le jury de son intérêt dans le travail social .","Valley failed to convince the jury of his interest in social work .",0.93430656934307,0.8375715193897,0.72,17300,34
﻿en-fr,"I 'll die here because the volcano has been my whole life .",1190000,50,"Je vais mourir ici parce que le volcan a été toute ma vie.","I'll die here because the volcano has been my life.",0.92727272727273,0.69553805774278,0.42,850000,21,"Je vais mourir ici parce que le volcan a été toute ma vie.","I'm going to die here because the volcano has been my whole life.",0.88709677419355,0.76615384615385,0.36,850000,21,"Je vais mourir ici, car le volcan a été toute ma vie .","I'm going to die here because the volcano has been all my life .",0.8130081300813,0.73893129770992,0.28,4580000,18
﻿en-fr,"Montreal would need its own investigative unit with ongoing monitoring .",12500,50,"Montréal aurait besoin de sa propre unité d’investigation avec une surveillance constante.","Montreal would need its own investigation with constant surveillance unit.",0.64383561643836,0.58228796105598,0.04,4070,2,"Montréal aurait besoin de sa propre unité d'enquête avec surveillance continue.","Montreal would need its own investigative unit with ongoing monitoring.",0.99300699300699,0.91376146788991,1,4070,2,"Montréal a besoin de sa propre enquête de l'unité de surveillance continue .","Montreal needs its own investigation of the unit of continuous monitoring .",0.7891156462585,0.38413413413413,0.16,12500,50
﻿en-fr,"a figure which represents very few cases .",39300000,50,"un chiffre qui représente très peu de cas.","a figure which represents very few cases.",0.98795180722892,0.87574270214415,0.96,39300000,48,"un chiffre qui représente très peu de cas.","a figure that represents very few cases.",0.90243902439024,0.7120253164557,0.32,39300000,48,"un chiffre qui représente très peu de cas .","a number that represents very few cases .",0.81927710843373,0.703125,0.08,32900000,16
﻿en-fr,"I would do it if I didn 't like somebody .",123000000,50,"Je le ferais si je didn ' t aime quelqu'un.","I'd do it if I didn't like someone.",0.83116883116883,0.34766355140187,0.14,25900000,7,"Je le ferais si je n'aimais pas quelqu'un.","I would do it if I did not like someone.",0.8780487804878,0.61692566935031,0.2,25900000,7,"Je le ferais si je ne t 'aime quelqu'un .","I would do it if I don't like someone .",0.88888888888889,0.71459288990826,0.1,166000000,10
﻿en-fr,"the incident began at 9.30 am ( local time ) .",10800,50,"l’incident a commencé à 09:30 (heure locale).","the incident began at 09:30 (local time).",0.89655172413793,0.4022536687631,0,14200,0,"l'incident a commencé à 9h30 (heure locale).","the incident started at 9:30 am (local time).",0.83516483516484,0.44821666984551,0,14200,0,"l'incident a commencé à 9h30 ( heure locale ) .","the incident began at 9: 30am ( local time ) .",0.95652173913043,0.74803591470258,0,274000,0
﻿en-fr,"he knew about the first case but did not know about the second one .",38100000,50,"il était au courant de la première affaire, mais n’avait pas connaissance de l’autre.","He was aware of the first case, but had no knowledge of the other.",0.65671641791045,0.34302759134974,0.06,32700000,3,"il connaissait le premier cas mais ne connaissait pas le second.","he knew the first case but did not know the second.",0.85714285714286,0.73531076644402,0.64,32700000,3,"il connaissait le premier cas, mais ne savent pas à propos de la seconde .","he knew the first case, but did not know about the second .",0.91338582677165,0.85339037262114,0.7,38800000,32
﻿en-fr,"blockage or delay lead to a new and devastating attack on the financial markets .",18300,50,"blocage ou retard conduisent à un nouvel attentat dévastateur sur les marchés financiers.","blocking or delays lead to another devastating attack on the financial markets.",0.9,0.58536995044932,0.36,29500,18,"le blocage ou le retard conduisent à une attaque nouvelle et dévastatrice sur les marchés financiers.","blocking or delay leads to a new and devastating attack on the financial markets.",0.96296296296296,0.79907718120805,0.44,29500,18,"le blocage ou le retard conduire à une nouvelle attaque dévastatrice sur les marchés financiers .","the blocking or the delay lead to a new and devastating attack on the financial markets .",0.92941176470588,0.97862480590062,0.38,30000,22
﻿en-fr,"we had a project to control devices in public places .",21100000,50,"Nous avions un projet de contrôler les périphériques dans les lieux publics.","We had a project to control the devices in public places.",0.93693693693694,0.89681818181818,0.76,21100000,38,"nous avions un projet pour contrôler les appareils dans les lieux publics.","we had a project to control the devices in public places.",0.95495495495495,0.89681818181818,0.82,21100000,38,"nous avions un projet pour les dispositifs de contrôle dans les lieux publics .","we had a project to control devices in public places .",1,0.99699474079639,0.96,21100000,41
