Language,"Source Text","Bing Translate #1","Bing Translate #2","Bing Score (RTT with similar_text)","Bing Score (RTT with meteor)","Google Translate #1","Google Translate #2","Google Score (RTT with similar_text)","Google Score (RTT with meteor)","Yandex Translate #1","Yandex Translate #2","Yandex Score (RTT with similar_text)","Yandex Score (RTT with meteor)"
﻿en-ms,"I 'll die here because the volcano has been my whole life .","Aku akan mati di sini kerana gunung berapi telah saya seumur hidup.","I'm going to die here because the volcano has me for life.",0.76923076923077,0.52127827875336,"Saya akan mati di sini kerana gunung berapi telah sepanjang hayat saya.","I will die here because the volcano has been my lifetime.",0.87931034482759,0.69010416666667,"Aku akan mati di sini karena gunung berapi yang telah saya seluruh kehidupan .","I will die here because the volcano has been my whole life .",0.97478991596639,0.91586538461538
﻿en-ms,"the current state of affairs can expect its next cycle .","keadaan semasa hal ehwal boleh mengharapkan kitaran yang seterusnya.","the current state of affairs can expect next cycles.",0.94444444444444,0.72120949074074,"keadaan urusan semasa boleh mengharapkan kitaran seterusnya.","current affairs can expect future cycles.",0.74226804123711,0.35714285714286,"semasa keadaan boleh mengharapkan kitaran yang akan datang .","the current situation can expect a cycle to come .",0.69811320754717,0.46890927624873
﻿en-ms,"in the scene , Peters who recently appeared as a presenter .","dalam senario, Peters yang Tempahan bermuncul sebagai penyampai.","in the Latest scenario, Peters appeared as a presenter.",0.76521739130435,0.48927263212978,"di tempat kejadian, Peters yang baru-baru ini muncul sebagai penyampai.","at the scene, Peters who recently appeared as a presenter.",0.94915254237288,0.72923205691567,"di tempat kejadian , Peters yang baru-baru ini muncul sebagai presenter .","at the scene , Peters recently appeared as a presenter .",0.93103448275862,0.78781512605042
﻿en-ms,"this is no simple task for Germany , on account of its relations with Israel .","ini adalah tugas yang tidak mudah untuk Jerman, disebabkan hubungannya dengan Israel.","This is a task that is not easy for Germany, because of its relationship with Israel.",0.71165644171779,0.5178125,"ini bukan tugas mudah untuk Jerman, kerana hubungannya dengan Israel.","This is not an easy task for Germany, because of its relationship with Israel.",0.79487179487179,0.48523206751055,"ini bukan tugas yang mudah bagi Jerman , pada kira hubungan dengan Israel .","this is not an easy task for Germany , on account of relations with Israel .",0.8961038961039,0.77255917159763
﻿en-ms,"this is the reaction of authorities to recent incidents .","ini adalah tindak balas pihak berkuasa untuk kejadian semalam.","This is the reaction of authorities to the incident yesterday.",0.84033613445378,0.79375,"ini adalah tindak balas pihak berkuasa untuk kejadian baru-baru ini.","this is the reaction of the authorities for recent events.",0.8695652173913,0.75,"ini adalah reaksi berkuasa untuk insiden baru-baru ini .","this is the reaction of authorities to the recent incidents .",0.96610169491525,0.98985725018783
﻿en-ms,"the hearing is scheduled to resume this weekend .","pendengaran dijadualkan untuk menyambung hujung minggu ini.","the hearing is scheduled to resume this weekend.",0.98969072164948,0.89185393258427,"pendengaran itu dijangka akan disambung semula hujung minggu ini.","the hearing is expected to resume this weekend.",0.875,0.75556065122678,"pendengaran dijadualkan untuk meneruskan akhir pekan ini .","the hearing is scheduled to resume this weekend .",1,0.99451303155007
﻿en-ms,"he , too , sees it as the most viable long-term alternative .","Beliau juga melihat ia alternatif jangka panjang sebagai yang paling berdaya maju.","He saw it a long term alternative as the most viable.",0.45614035087719,0.2734375,"dia juga melihatnya sebagai alternatif jangka panjang yang paling berdaya maju.","he also sees it as the most viable long-term alternative.",0.91525423728814,0.64790512297074,"dia juga melihatnya sebagai yang paling layak jangka panjang alternatif .","he also saw it as the most worthy of long-term alternative .",0.7603305785124,0.48934108527132
﻿en-ms,"the waiting time must be "" appropriate , .","masa menunggu mesti ""sesuai.","waiting time must be ""appropriately.",0.87179487179487,0.23255813953488,"masa menunggu mestilah ""sesuai,.","the waiting time must be ""appropriate.",0.95,0.49010217113665,"menunggu masa mesti "" sesuai , .","waiting time must be "" suitable , .",0.75324675324675,0.71313918825957
﻿en-ms,"Baku became famous in May due to the Eurovision Song Contest .","Baku menjadi terkenal dalam bulan Mei kerana di Eurovision Song Contest.","Baku became famous in May's Eurovision Song Contest.",0.87719298245614,0.57969739619986,"Baku menjadi terkenal pada bulan Mei kerana Peraduan Lagu Eurovision.","Raw became famous in May due to the Eurovision Song Contest.",0.95081967213115,0.83697478991597,"Baku menjadi terkenal dalam Mungkin disebabkan oleh Eu Pertandingan Lagu .","Baku became famous in May be caused by the Eu Song Contest .",0.81967213114754,0.71115192327314
﻿en-ms,"the reconstruction of the railway crossing should not be consented to .","pembinaan semula lintasan Kereta Api tidak akan berkenan untuk.","the crossings would not have consented to.",0.65486725663717,0.17391304347826,"pembinaan semula lintasan kereta api tidak sepatutnya dipersetujui.","reconstruction of railway tracks should not be agreed.",0.752,0.44061302681992,"pembinaan rel kereta api yang melintas tidak boleh bersetuju .","the construction of the railway crossing can not agree .",0.77165354330709,0.53787616741612
