Language,"Source Text","Source Text Total Google Results","Source Text Total Google Results (limited by total queries sent)","Bing Translate #1","Bing Translate #2","Bing Score (RTT with similar_text)","Bing Score (RTT with meteor)","Bing Score (RTT with GoogleSearch)","Bing Total Google Results","Bing Total Intersected Links","Google Translate #1","Google Translate #2","Google Score (RTT with similar_text)","Google Score (RTT with meteor)","Google Score (RTT with GoogleSearch)","Google Total Google Results","Google Total Intersected Links","Yandex Translate #1","Yandex Translate #2","Yandex Score (RTT with similar_text)","Yandex Score (RTT with meteor)","Yandex Score (RTT with GoogleSearch)","Yandex Total Google Results","Yandex Total Intersected Links"
﻿en-sv,"through sponsorships donations , the money all adds up .",46500,50,"genom sponsring donationer lägger alla pengar upp.","through sponsorship donations add up all the money.",0.76635514018692,0.30612244897959,0.14,1540000,7,"genom sponsring donationer, alla pengar lägger till.","Through sponsorship donations, all the money adds.",0.84905660377358,0.30927835051546,0.2,1540000,7,"genom sponsring, donationer , de pengar som alla lägger upp .","through sponsorship, donations , and the money all adds up .",0.94827586206897,0.81469258036915,0.52,1010000,10
﻿en-sv,"distracting music can help you not be bored .",1090000,50,"störande musik kan hjälpa dig att inte bli uttråkad.","distracting music can help you not to get bored.",0.9247311827957,0.74716553287982,0.72,1080000,36,"störande musik kan hjälpa dig att inte bli uttråkad.","disturbing music can help you not get bored.",0.89887640449438,0.63202247191011,0.1,1080000,36,"störande musik kan hjälpa dig att inte bli uttråkad .","distracting music can help you to not get bored .",0.93617021276596,0.82417582417582,0.76,901000,5
﻿en-sv,"the yen rose to near historical levels .",384000,50,"Yenen steg till nära historiska nivåer.","The yen rose to near historic levels.",0.93506493506494,0.7120253164557,0.68,233000,34,"yenen steg till nära historiska nivåer.","The yen rose to near historical levels.",0.9620253164557,0.87574270214415,1,233000,34,"yenen steg till nära historiska nivåer .","the yen rose to near historical levels .",1,0.9921875,1,430000,50
﻿en-sv,"the head of State had given the Assembly two more months to finish .",21800000,50,"Statschefen hade givit församlingen två månader att slutföra.","The head of State had given the Assembly two months to complete.",0.83333333333333,0.78901664870044,0.44,48000000,22,"statschefen hade gett församlingen ytterligare två månader att avsluta.","The head of state had given the assembly another two months to complete.",0.75714285714286,0.77234080504192,0.46,48000000,22,"statschefen hade gett Församlingen två månader för att avsluta .","the head of state had given the Assembly two months to finish .",0.94656488549618,0.92950491677664,0.7,57200000,23
﻿en-sv,"Flint hired a director to help him with company management .",427000,50,"Flint anlitade en direktör att hjälpa honom med företagsledningen.","Flint hired a Director to help him with the management of the company.",0.8,0.86428571428571,0.6,381000,30,"Flint anställde en regissör för att hjälpa honom med företagsledningen.","Flint employed a director to help him with management.",0.84210526315789,0.69444444444444,0.2,381000,30,"Flint anställt en chef för att hjälpa honom med bolagets ledning .","Flint hired a manager to help him with the company's management .",0.864,0.77521966410855,0.42,342000,10
﻿en-sv,"the hotel I am staying in is one of a number of venues hosting a rakfisk dinner .",0,0,"Hotellet jag bor i är en av ett antal arenor värd en rakfisk middag.","The hotel i am staying in is one of a number of venues host a rakfisk dinner.",0.94936708860759,0.89090869413408,0,0,0,"Hotellet jag bor i är ett av ett antal ställen som serverar en rakfisk-middag.","The hotel I live in is one of a number of places serving a rakfish dinner.",0.8,0.64977372034956,0,0,0,"hotellet jag bor i är en av ett antal platser som värd för ett rakfisk middag .","the hotel I am staying in is one of a number of places hosting a rakfisk dinner .",0.95061728395062,0.9418492887351,0,121,0
﻿en-sv,"at the most critical point of the debate , Warsaw did not hesitate to compare new German-Soviet pact .",607,50,"på de mest kritiska punkt i debatten, Warszawa tvekade inte att jämföra nya tysk-sovjetiska pakten.","at the most critical point in the debate, Warsaw did not hesitate to compare the new German-Soviet Pact.",0.94174757281553,0.87969828454258,0.96,580,48,"Vid den mest kritiska punkten i debatten tvekade Warszawa inte att jämföra den nya tysk-sovjetiska pakten.","At the most critical point in the debate, Warsaw did not hesitate to compare the new German-Soviet pact.",0.94174757281553,0.87969828454258,0.96,580,48,"vid den mest kritiska punkt i debatten , Warszawa tvekade inte att jämföra nya tysk-Sovjetiska pakten .","at the most critical point in the debate , Warsaw did not hesitate to compare the new German-Soviet pact .",0.96153846153846,0.97910110078171,0.96,581,48
﻿en-sv,"the number of taxed establishments have fallen between 2007 and 2011 .",909000,50,"antalet beskattade anläggningar har fallit mellan 2007 och 2011.","the number of taxable holdings have fallen between 2007 and 2011.",0.85925925925926,0.74229691876751,0.1,101000,5,"Antalet beskattade anläggningar har fallit mellan 2007 och 2011.","The number of taxed facilities has fallen between 2007 and 2011.",0.85074626865672,0.74229691876751,0.12,101000,5,"antalet beskattas anläggningar har minskat mellan 2007 och 2011 .","the number of taxed establishments has decreased between 2007 and 2011 .",0.90140845070423,0.82208333333333,0.36,1190000,6
﻿en-sv,"Casillas will will impose a new record of 127 international matches .",143,50,"Casillas kommer kommer att införa ett nytt rekord på 127 landskamper.","Casillas will will introduce a new record of 127 caps.",0.7479674796748,0.66009004237288,0.06,569,3,"Casillas kommer att införa en ny rekord på 127 internationella matcher.","Casillas will introduce a new record of 127 international matches.",0.88888888888889,0.74858757062147,0.12,569,3,"Casillas kommer att införa ett nytt rekord på 127 internationella matcher .","Casillas will introduce a new record of 127 international matches .",0.89705882352941,0.82899159663866,0.12,767,6
﻿en-sv,"they 're not supposed to restart them until the planes reach 10,000 feet .",112000,50,"de är inte tänkt att starta om dem tills plan når 10 000 fot.","they are not meant to restart them until the plane reaches 10 000 feet.",0.86896551724138,0.50167410714286,0.5,628000,25,"De ska inte starta om dem förrän planerna når 10 000 fot.","They will not restart them until the plans reach 10,000 feet.",0.82962962962963,0.60061277822835,0.36,628000,25,"de 're inte tänkt att starta om dem tills de plan nå 10.000 meter .","they 're not supposed to restart them until the planes reach 10,000 feet .",1,0.99854227405248,1,601000,18
﻿en-sv,"the great physical effort of Marcus Blasutto 's TSV team proved decisive .",0,0,"de stora fysiska ansträngningar av Marcus Blasutto TSV laget visat sig vara avgörande.","the major physical efforts of Marcus Blasutto TSV team proved to be decisive.",0.87417218543046,0.58974358974359,0,0,0,"Marcus Blasuttos TSV-team hade en stor fysisk ansträngning som visat sig avgörande.","Marcus Blasutto's TSV team had a great physical effort that proved crucial.",0.51006711409396,0.49201075779149,0,0,0,"den stora fysisk ansträngning av Marcus Blasutto 's TSV laget visade sig vara avgörande .","the great physical effort of the Marcus Blasutto's TSV team proved to be crucial .",0.87179487179487,0.81329827197596,0,0,0
