Language,"Source Text","Bing Translate #1","Bing Translate #2","Bing Score (RTT with similar_text)","Bing Score (RTT with meteor)","Google Translate #1","Google Translate #2","Google Score (RTT with similar_text)","Google Score (RTT with meteor)","Yandex Translate #1","Yandex Translate #2","Yandex Score (RTT with similar_text)","Yandex Score (RTT with meteor)"
﻿﻿﻿en-sv,"Rainer Prewo made the suggestion of equipping this vehicle with a photovoltaic system .","Rainer Prewo gjorde förslag för att utrusta fordonet med ett solcellssystem.","Rainer Prewo did proposals to equip the vehicle with a photovoltaic system.",0.76543209876543,0.54347826086957,"Rainer Prewo gjorde förslaget att utrusta detta fordon med ett fotovoltaiskt system.","Rainer Prewo made the proposal to equip this vehicle with a photovoltaic system.",0.8622754491018,0.70971223021583,"Rainer Prewo gjort förslag om att utrusta detta fordon med ett system för solceller .","Rainer Prewo made proposals to equip this vehicle with a photovoltaic system .",0.82424242424242,0.70971223021583
﻿en-sv,"participants ' ages were also wide-ranging .","Deltagarnas ålder var också omfattande.","Age of participants was also extensive.",0.57831325301205,0.14492753623188,"deltagarnas åldrar var också omfattande.","The participants' ages were also extensive.",0.73563218390805,0.45742753623188,"deltagarnas ålder var också omfattande .","the participants ' age was also extensive .",0.68965517241379,0.28169014084507
﻿en-sv,"three suspects were detained in relation to the discovery .","tre misstänkta greps i förhållande till upptäckten.","three suspects were arrested in relation to the discovery.",0.92307692307692,0.78677398989899,"tre misstänkta fängslade i förhållande till upptäckten.","Three suspects detained in relation to the discovery.",0.92857142857143,0.79480229591837,"tre misstänkta greps i förhållande till upptäckten .","three suspects arrested in relation to the discovery .",0.90265486725664,0.78677398989899
﻿en-sv,"while people in general are stuck at working with pixels .","medan människor i allmänhet har fastnat på arbeta med pixlar.","While people generally are stuck at work with pixels.",0.9009009009009,0.58767951625094,"medan människor i allmänhet fastnar vid att arbeta med pixlar.","while people generally get stuck in working with pixels.",0.87719298245614,0.53004535147392,"medan människor i allmänhet har fastnat på att jobba med pixlar .","while people in general have got stuck on working with pixels .",0.90909090909091,0.77521966410855
﻿en-sv,"the south stand was initially unusually quiet .","södra montern var ursprungligen ovanligt lugnt.","the South stand was originally unusually quiet.",0.8936170212766,0.7120253164557,"Sydstativet var ursprungligen ovanligt tyst.","The southern stand was originally unusually quiet.",0.8659793814433,0.47088607594937,"south stand början var ovanligt lugn .","the south stand the beginning, was unusually quiet .",0.74747474747475,0.92592592592593
﻿en-sv,"drivers should expect snow slush .","förare bör förväntar snöslask.","drivers should expect sleet.",0.80645161290323,0.44061302681992,"förare bör förvänta sig snösläckning.","Drivers should expect snow crash.",0.86567164179104,0.63559322033898,"förare bör förvänta oss snö slask .","drivers should expect snow slush .",1,0.98148148148148
﻿en-sv,"Mr Kerry is scheduled to head this weekend to the Middle East .","Herr Kerry är planerad till chef för helgen till Mellanöstern.","Mr Kerry is scheduled to head for this weekend to the Middle East.",0.96124031007752,0.91586538461538,"Kerry är planerad att leda denna helg till Mellanöstern.","Kerry is scheduled to lead this weekend to the Middle East.",0.95081967213115,0.770703125,"Herr Kerry är planerad att huvudet den här helgen till Mellanöstern .","Mr Kerry is scheduled to head this weekend to the Middle east .",0.98412698412698,0.99817933545744
﻿en-sv,"Jeff Ament said the band is ready to offer one of its best concerts .","Jeff Ament sa bandet är redo att erbjuda en av dess bästa konserter.","Jeff Ament said the band is ready to offer one of the best concerts.",0.96350364963504,0.93497466100534,"Jeff Ament sa att bandet är redo att erbjuda en av sina bästa konserter.","Jeff Ament said the band is ready to offer one of their best concerts.",0.94964028776978,0.86712203645606,"Jeff Ament sade bandet är redo att offra en av sina bästa konserter .","Jeff Ament said the band is ready to sacrifice one of their best concerts .",0.88888888888889,0.85404339250493
﻿en-sv,"we generally carry 70 kilos , so we get about 46,000 rupees a trip .","Vi utför vanligtvis 70 kilo, så vi får om 46 000 rupier en resa.","We typically perform 70 kilos, so we get about 46 000 rupees a trip.",0.82352941176471,0.59865771812081,"vi bär vanligtvis 70 kilo, så vi får cirka 46.000 rupier en resa.","We usually carry 70 kilos, so we get about 46,000 rupees a trip.",0.90909090909091,0.78148460960961,"vi har vanligen 70 kilo , så vi får ungefär 46 000 rupier för en resa .","we usually have 70 kilos , so we get about 46,000 rupees for a trip .",0.86131386861314,0.81860574473921
﻿en-sv,"it has ancient Qumran manuscripts and Dead Sea scrolls found in the caves of the Judean desert .","den har gamla Qumran manuskript och Dödahavsrullarna hittades i grottor i Judean öknen.","It has ancient Qumran manuscripts and the Dead Sea scrolls were found in caves in the Judean desert.",0.89795918367347,0.91147635524798,"Det har gamla Qumran manuskript och Döda Hav rullar som finns i grottorna i den judiska öknen.","It has old Qumran manuscripts and Dead Sea rolls found in the caves of the Jewish desert.",0.87567567567568,0.76430851670277,"det har antika Qumran manuskript och dödahavsrullarna hittades i grottor i Judea öken .","it has ancient Qumran manuscripts and the dead sea scrolls were found in caves in the Judean desert .",0.89340101522843,0.96523088465998
